TRA,TRB,PEP,MHC,PDBID
G,H,C,A,8shi
A,B,P,N,8es8
D,E,C,A,8gom
D,E,C,A,8gon
D,E,C,A,7q99
D,E,C,A,7q9a
D,F,C,A,7n2o
D,E,C,A,7rk7
D,E,C,A,7nme
D,E,C,A,7nmf
D,E,C,A,7nmg
A,B,E,C,7qpj
D,E,C,A,7ow5
D,E,C,A,7ow6
A,B,E,C,7r80
D,E,C,A,7su9
D,E,C,A,7pbe
D,E,C,A,7rrg
E,D,C,A,7dzm
E,D,C,A,7dzn
D,E,C,A,7rtr
D,E,C,A,7n1e
D,E,C,A,7n1f
D,E,C,A,6vm7
D,E,C,A,6vm9
D,E,C,A,6vma
D,E,C,A,6vmc
D,E,C,A,6vm8
D,E,C,A,6tmo
D,E,C,A,6uk4
D,E,C,A,6tro
D,E,P,A,6vqo
D,E,P,A,6vrm
D,E,P,A,6vrn
D,E,C,A,6uln
D,E,C,A,6rsy
D,E,C,A,6r2l
D,E,C,A,6rpa
D,E,C,A,6rpb
D,E,C,A,6q3s
D,E,C,A,6dkp
D,E,C,A,6d78
D,E,C,A,6mtm
A,B,I,C,5yxn
F,G,I,C,5yxu
D,E,C,A,6eqb
D,E,C,A,6amu
D,E,C,A,6am5
D,H,C,A,6bj3
D,H,C,A,6bj8
A,B,P,H,6avf
C,D,Q,G,6avg
D,E,C,A,5nme
D,E,C,A,5nmf
D,E,C,A,5nmg
I,J,C,A,5tez
D,E,C,A,5wkf
D,E,C,A,5xot
I,J,C,A,5xov
D,E,C,A,5jzi
D,E,C,A,5isz
D,E,C,A,5jhd
D,E,C,A,5men
D,E,C,A,5e9d
D,E,C,A,5c07
D,E,C,A,5c08
D,E,C,A,5c09
D,E,C,A,5c0a
D,E,C,A,5c0b
D,E,C,A,5c0c
D,E,C,A,5hhm
D,E,C,A,5hho
D,E,C,A,5brz
D,E,C,A,5bs0
D,E,C,A,5eu6
C,F,G,H,5d2n
D,E,C,A,4qok
E,D,P,A,4qrr
D,E,C,A,4qrp
D,E,C,A,4l3e
D,E,C,A,4mji
D,E,C,A,4prh
D,E,C,A,4pri
D,E,C,A,4prp
D,E,C,A,3w0w
D,E,C,A,3vxm
D,E,C,A,3vxr
D,E,C,A,3vxs
D,E,C,A,3vxu
D,E,C,A,4ftv
D,E,C,A,4jfd
D,E,C,A,4jfe
D,E,C,A,4jff
G,H,F,D,4eup
D,E,C,A,4jrx
D,E,C,A,4jry
D,E,C,A,4g8g
D,E,C,A,4g9f
D,E,C,A,2ypl
D,E,C,A,3uts
D,E,C,A,3utt
D,E,C,A,3qfj
D,E,C,A,3qdg
D,E,C,A,3qdj
D,E,C,A,3qdm
D,E,C,A,3qeq
D,E,C,A,3pwp
D,E,C,A,3o4l
D,E,C,A,3mv7
D,E,C,A,3mv8
D,E,C,A,3mv9
D,E,C,A,3h9s
D,E,C,A,3kpr
D,E,C,A,3kps
A,B,P,H,3gsn
D,E,C,A,3hg1
D,E,C,A,3d39
D,E,C,A,3d3v
D,E,C,A,3ffc
D,E,C,A,2vlj
D,E,C,A,2vlk
D,E,C,A,2vlr
E,F,C,A,2j8u
E,F,C,A,2jcc
D,E,C,A,2pye
E,F,C,A,2uwe
D,E,C,A,2nx5
D,E,C,A,2gj6
D,E,C,A,2f53
D,E,C,A,2f54
D,E,P,A,2esv
D,E,C,A,2ak4
D,E,C,A,2bnq
D,E,C,A,2bnr
E,F,C,A,1lp9
D,E,C,A,1oga
D,E,C,A,1mi5
D,E,C,A,1qse
D,E,C,A,1qsf
D,E,C,A,1qrn
D,E,C,A,1bd2
D,E,C,A,1ao7
D,F,C,A,7n2n
D,F,C,A,7n2p
D,F,C,A,7n2q
D,F,C,A,7n2r
D,F,C,A,7n2s
D,E,C,A,6zkw
D,E,C,A,6zkx
D,E,C,A,6zky
D,E,C,A,6zkz
E,F,I,A,5euo
D,E,C,A,4mnq
